relative_path,bytes,sha256
config/d14_closeout_protocol.json,4412,2566757791a443426eef77a5bd3caef9f632dca0157456c32d70bed26e340eef
results/d14/d14_error_structure.csv,1888,93eb77e7fe6d4e8ad68ce6ca13cc5d653929f88f27b2eb7d006e6eec655c75dc
results/d14/d14_paired_error_outcomes.csv,1278,8805327b02b46f1293006ac907f3423da26eb3c9c41fdf0682a0fe1a85aa760b
results/d14/d14_illustrative_high_confidence_errors.csv,14891,d6129c221bb494cac7d4633e7e4f9cf90f5dbaf127a8824bf3e5f76313738428
logs/d14_protocol_deviations.json,2032,e7b08d671f685194f87dac8f1d6273e68a76dc99215f0e42403081475f9ff5a9
logs/d14_limitations_and_boundaries.md,3779,26c45011442f4433d8e03d92021c40e87111c5c388b9c7cdcb03afeea60726f0
logs/d14_final_checkpoint.md,1564,ddd7a17266ceace607b672ff2a3d24c941d0c9a049bcd27d703d31eeb8b3c11c
logs/d14_final_summary.json,4658,f60aead0afc0063de7075585f16186995937bc95c279e6b5c933d1263521e2db
code/d14_closeout.py,30202,fb7e974af0559f9c5be7ebb0656d03a0d84bf831d282004548566a09a8e841ea
code/test_d14_closeout.py,4116,dd710baaaf4eb64d6f8fbebc1a19928417934a16e9c79af5057c81fd142bee42
