relative_path,bytes,sha256
code/cas_finalize_replication.py,15767,e32a15987fbcb4e4835b9099d4dc17b5247318bece40f770fd28687be19111f5
config/cas/cas_bootstrap_complete.json,579,55c3973ade57e6a1db200ce8adac6e4c8013aa48300990273bed0db105d57102
config/cas/cas_cross_dataset_reporting_protocol.json,3531,8022dd11b8a7251ec842b889ad5cd8a3c047eb28a97a6a50d8f727bed86ad879
config/cas/cas_evaluation_complete.json,776,88750a5ef5a62379d311d94078685e4a621e9626dfe9edb810ce11e0ee3359f0
config/cas/cas_h3_complete.json,1857,ac502fc300e412930e3b82a307d4004ceb96e9fb995a6ac97e3bc7fe349de815
logs/cas/cas_replication_checkpoint.md,1526,fc5ae3d30904bcf87521214c69990fc1d5721d8c8efef988cb8ac42e66fe1247
results/cas_post_analysis/cross_dataset_directional_comparison.csv,3710,914f6c70d36ce03c055aad4ca7602b7f6c91a99e360386399d38424a4856c59b
results/cas_post_analysis/h1_across_seed_summary.csv,5279,7f3fb8aba561c67c67617fd264ed68ff932e4c4fcbbf7085cad99a33f44b434c
results/cas_post_analysis/h2_bootstrap.csv,22942,7da34c869ec239e185a9446b4f08bd4b9f77696eea6b4b59f71f489340573537
tests/test_cas_closeout.py,5347,888f23f14da6eec8da445b9f5e2aeff0191a7160948188181bc00943f85a8762
